id,topic_key,difficulty,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_option_ids,explanation,source
net-easy-001,network,easy,Какой протокол обычно переводит доменное имя в IP-адрес?,DNS,DHCP,SMTP,ARP,,,1,DNS используется для разрешения имен в IP-адреса,starter-pack-v1
net-easy-002,network,easy,Какой адрес обычно обозначает локальный компьютер?,127.0.0.1,8.8.8.8,255.255.255.255,0.0.0.0,,,1,127.0.0.1 это loopback адрес локального хоста,starter-pack-v1
net-easy-003,network,easy,Какой протокол чаще всего выдает IP-адрес клиенту автоматически?,DHCP,FTP,SSH,ICMP,,,1,DHCP автоматически назначает сетевые параметры клиентам,starter-pack-v1
net-easy-004,network,easy,Как называется устройство которое соединяет разные IP-сети?,Маршрутизатор,Коммутатор,Патч-панель,Модем,,,1,Маршрутизатор пересылает пакеты между сетями,starter-pack-v1
net-easy-005,network,easy,Какая команда часто проверяет доступность узла по ICMP?,ping,grep,mkdir,chmod,,,1,ping отправляет ICMP echo request и показывает ответ,starter-pack-v1
net-normal-001,network,normal,Какой порт по умолчанию использует HTTPS?,443,80,22,53,,,1,HTTPS обычно работает поверх TCP порта 443,starter-pack-v1
net-normal-002,network,normal,Какая DNS-запись указывает IPv4-адрес хоста?,A,AAAA,MX,TXT,,,1,A-запись сопоставляет имя с IPv4-адресом,starter-pack-v1
net-normal-003,network,normal,Что делает NAT в домашнем маршрутизаторе?,Преобразует адреса,Шифрует файлы,Создает DNS-зону,Проверяет пароли,,,1,NAT преобразует внутренние адреса в адрес внешней сети,starter-pack-v1
net-normal-004,network,normal,Какой протокол надежно доставляет поток данных с подтверждениями?,TCP,UDP,ARP,ICMP,,,1,TCP использует соединение и подтверждения доставки,starter-pack-v1
net-normal-005,network,normal,Какая маска соответствует префиксу /24?,255.255.255.0,255.255.0.0,255.0.0.0,255.255.255.252,,,1,/24 означает 24 единичных бита в маске сети,starter-pack-v1
net-hard-001,network,hard,Какой протокол связывает IPv4-адрес с MAC-адресом в локальной сети?,ARP,DNS,NTP,SNMP,,,1,ARP ищет MAC-адрес по известному IPv4-адресу,starter-pack-v1
net-hard-002,network,hard,Какой флаг TCP обычно начинает установку соединения?,SYN,FIN,RST,ACK-only,,,1,TCP handshake начинается с SYN от клиента,starter-pack-v1
net-hard-003,network,hard,Что означает MTU в сети?,Максимальный размер кадра или пакета,Минимальный TTL,Адрес шлюза,Номер VLAN,,,1,MTU задает максимальный размер передаваемого блока без фрагментации,starter-pack-v1
net-hard-004,network,hard,Какая технология делит один физический коммутатор на логические сети?,VLAN,NAT,DHCP,DNS,,,1,VLAN изолирует широковещательные домены на втором уровне,starter-pack-v1
net-hard-005,network,hard,Какой DNS-запрос возвращает почтовые серверы домена?,MX,A,CNAME,SRV,,,1,MX-записи указывают почтовые серверы домена,starter-pack-v1
net-ccna-001,network,ccna,Какой протокол помогает избежать петель на втором уровне?,STP,OSPF,NAT,DHCP,,,1,STP блокирует избыточные пути и предотвращает L2-петли,starter-pack-v1
net-ccna-002,network,ccna,Какой административный distance у статического маршрута Cisco по умолчанию?,1,0,90,110,,,1,У статического маршрута Cisco AD обычно равен 1,starter-pack-v1
net-ccna-003,network,ccna,Какой протокол маршрутизации использует cost на основе bandwidth в Cisco?,OSPF,RIP,BGP,EIGRP,,,1,OSPF использует метрику cost которая обычно связана с bandwidth,starter-pack-v1
net-ccna-004,network,ccna,Какой тип VLAN переносит трафик управления trunk без тега по умолчанию?,Native VLAN,Voice VLAN,Private VLAN,Management VLAN,,,1,Native VLAN на 802.1Q trunk передается без тега по умолчанию,starter-pack-v1
net-ccna-005,network,ccna,Какая команда Cisco показывает краткое состояние интерфейсов и IP?,show ip interface brief,show running-config,show vlan brief,show arp,,,1,show ip interface brief быстро показывает IP и состояние интерфейсов,starter-pack-v1
sys-easy-001,system,easy,Какая команда Linux показывает текущий каталог?,pwd,cd,ls,whoami,,,1,pwd печатает текущий рабочий каталог,starter-pack-v1
sys-easy-002,system,easy,Какая команда показывает список файлов в каталоге?,ls,cat,rm,ssh,,,1,ls выводит содержимое каталога,starter-pack-v1
sys-easy-003,system,easy,Какая команда меняет текущий каталог?,cd,pwd,echo,top,,,1,cd меняет текущий рабочий каталог,starter-pack-v1
sys-easy-004,system,easy,Какая команда выводит содержимое текстового файла?,cat,mv,cp,kill,,,1,cat печатает содержимое файла в терминал,starter-pack-v1
sys-easy-005,system,easy,Какая команда показывает имя текущего пользователя?,whoami,hostname,uptime,date,,,1,whoami выводит имя текущего пользователя,starter-pack-v1
sys-normal-001,system,normal,Какой файл обычно содержит локальные учетные записи Linux?,/etc/passwd,/etc/hosts,/etc/fstab,/etc/resolv.conf,,,1,/etc/passwd содержит сведения о локальных пользователях,starter-pack-v1
sys-normal-002,system,normal,Какая команда показывает запущенные процессы в интерактивном виде?,top,tar,scp,tee,,,1,top показывает процессы и нагрузку в реальном времени,starter-pack-v1
sys-normal-003,system,normal,Какая команда меняет права доступа к файлу?,chmod,chown,grep,df,,,1,chmod изменяет режимы доступа к файлам и каталогам,starter-pack-v1
